OBJECTID,List entry number,Name,Schedule date,Amendment date,Capture scale,NHLE link,Area (ha),National Grid Reference,Easting,Northing,Name_2,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,fid,OBJECTID_2,ListEntry,SchedDate,AmendDate,CaptureSca,hyperlink,area_ha,NGR,Easting_2,Northing_2,SHAPE_Leng,SHAPE_Area,longitude,latitude
58,1001775,Lower Park Wood Camp,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001775,2.46508684751991,SO 35924 37674,335924,237674,Lower Park Wood Camp,,,,,,-1,0,-1,,,2782,58,1001775,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001775,2.46508684751991,SO 35924 37674,335923.93449974,237674.04321821,574.776850745292,24633.6990510742,-2.935461704885538,52.033753416342954
59,1001776,Newton Tump,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001776,0.918503877640884,SO 29301 44059,329301,244059,Newton Tump,,,,,,-1,0,-1,,,2784,59,1001776,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001776,0.918503877640884,SO 29301 44059,329300.94550132,244058.60266214,353.658580304475,9178.84310954548,-3.0333145656194875,52.090342898265476
67,1001784,"River Wey aqueduct, Bramshott Court",,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001784,0.0386506101011082,SU 83285 33462,483285,133462,"River Wey aqueduct, Bramshott Court",,,,,,-1,0,-1,,,2798,67,1001784,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001784,0.038650610101108,SU 83285 33462,483284.7045021,133462.20810307,79.1502220505056,386.263745489711,-0.8120686687953992,51.09442927057072
73,1001790,"Pickett Hamilton fort, Hilsea",,,1:1250,https://historicengland.org.uk/listing/the-list/list-entry/1001790,0.0049477542485426,SU 67325 03931,467325,103931,"Pickett Hamilton fort, Hilsea",,,,,,-1,0,-1,,,2834,73,1001790,,,1:1250,https://historicengland.org.uk/listing/the-list/list-entry/1001790,0.004947754248543,SU 67325 03931,467324.98000145,103931.16900062,25.0297363286658,49.4435899965315,-1.045394726077411,50.831007739894396
77,1001794,"Andover-Redbridge canal, Chalk Hill Lock, Horsebridge",,,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1001794,0.0584723312445422,SU 34701 30724,434701,130724,"Andover-Redbridge canal, Chalk Hill Lock, Horsebridge",,,,,,-1,0,-1,,,2839,77,1001794,,,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1001794,0.058472331244542,SU 34701 30724,434700.61250114,130723.68604596,118.239911277575,584.274265007005,-1.5060627654242988,51.07479873456367
78,1001795,Hydraulic pillbox on Middle Wallop Aerodrome,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001795,0.0127412054665046,SU 29900 38700,429900,138700,Hydraulic pillbox on Middle Wallop Aerodrome,,,,,,-1,0,-1,,,2840,78,1001795,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001795,0.012741205466505,SU 29900 38700,429900.36050033,138699.97614665,40.3686265053268,127.313266497091,-1.5739303952685246,51.146786758701786
79,1001796,"Iron Age hillfort in Ashley's Copse
See also WILTSHIRE 912",,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001796,3.80799914105539,SU 25978 34860,425978,134860,"Iron Age fort in Ashley's Copse
See also HAMPSHIRE 540",,,,,,-1,0,-1,,,640,2908,1004667,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1004667,3.80799914105539,SU 25978 34860,425978.20199966,134859.98849291,717.073637588317,38050.2612704674,-1.6302733719125735,51.11244872354407
79,1001796,"Iron Age hillfort in Ashley's Copse
See also WILTSHIRE 912",,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001796,3.80799914105539,SU 25978 34860,425978,134860,"Iron Age hillfort in Ashley's Copse
See also WILTSHIRE 912",,,,,,-1,0,-1,,,2833,79,1001796,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001796,3.80799914105539,SU 25978 34860,425978.20199966,134859.98849291,717.073637588317,38050.2612704674,-1.6302733719125735,51.11244872354407
82,1001799,Roman corn drier S of Tin Wood,,,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1001799,0.0491718987197717,SU 39237 33210,439237,133210,Roman corn drier S of Tin Wood,,,,,,-1,0,-1,,,2832,82,1001799,,,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1001799,0.049171898719772,SU 39237 33210,439236.53500175,133209.62178495,89.9605795459721,491.345534999594,-1.4410508428735165,51.09686071285825
84,1001801,Enclosure in Preshaw Wood,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001801,1.69165552087505,SU 57824 23019,457824,123019,Enclosure in Preshaw Wood,,,,,,-1,0,-1,,,2837,84,1001801,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001801,1.69165552087505,SU 57824 23019,457824.13850212,123018.5405476,480.702053429711,16904.4575699694,-1.1772670972757666,51.00366163029325
85,1001802,Keyhole enclosure SE of Field Barn Farm,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001802,1.35385817613723,SU 60102 54793,460102,154793,Keyhole enclosure SE of Field Barn Farm,,,,,,-1,0,-1,,,2838,85,1001802,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001802,1.35385817613723,SU 60102 54793,460101.8125019,154792.89027797,466.976517607685,13528.9879610377,-1.1395105503292855,51.28910870347502
96,1001814,'Banjo type' native settlement,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001814,6.30406226651631,SU 53223 34701,453223,134701,'Banjo type' native settlement,,,,,,-1,0,-1,,,2813,96,1001814,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001814,6.30406226651631,SU 53223 34701,453222.98700142,134700.74591014,1002.25568302461,62994.7437895671,-1.241119670354752,51.10914187909666
97,1001815,Iron Age settlement,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001815,4.49863945827839,SU 52315 37150,452315,137150,Iron Age settlement,,,,,,-1,0,-1,,,2814,97,1001815,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001815,4.49863945827839,SU 52315 37150,452314.76450157,137149.73659198,842.396882562444,44953.5493380708,-1.2537341550988674,51.13124496372842
99,1001817,Anglo-Saxon cemetery in Worthy Park,2/23/1976 12:00:00 AM,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001817,0.676268114803131,SU 49949 32889,449949,132889,Anglo-Saxon cemetery in Worthy Park,,,,,,-1,0,-1,,,2810,99,1001817,1976/02/23,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001817,0.676268114803131,SU 49949 32889,449948.78700065,132889.4943939,323.06321141506,6757.70363601256,-1.2881329591759136,51.09314352238822
106,1001824,Enclosures S of the Cowleys,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001824,12.6312029407331,SU 56687 40548,456687,140548,Enclosures S of the Cowleys,,,,,,-1,0,-1,,,2835,106,1001824,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001824,12.6312029407331,SU 56687 40548,456687.0625019,140548.1317806,1439.92506954442,126221.284150884,-1.1907254496766049,51.16138156865663
108,1001826,Enclosure S of Marsh Court,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001826,8.85537198722009,SU 35668 33254,435668,133254,Enclosure S of Marsh Court,,,,,,-1,0,-1,,,2788,108,1001826,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001826,8.85537198722009,SU 35668 33254,435668.40650177,133254.16929101,1224.99518330538,88485.882330012,-1.4920116133414731,51.09748876311604
110,1001828,Round barrow on Rabbit Warren,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001828,0.107285613602569,SU 44156 56749,444156,156749,Round barrow on Rabbit Warren,,,,,,-1,0,-1,,,2789,110,1001828,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001828,0.107285613602569,SU 44156 56749,444155.88950157,156749.18693926,125.74367563454,1072.05200049731,-1.367920161486633,51.308152048831346
116,1001834,White Barrow,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001834,0.157044620222817,SU 58808 51195,458808,151195,White Barrow,,,,,,-1,0,-1,,,2787,116,1001834,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001834,0.157044620222817,SU 58808 51195,458807.97450065,151194.571076,141.331485230562,1569.32742199631,-1.1586554318039912,51.256894484888385
127,1001845,Earthwork in Great Park,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001845,1.02141697101047,SU 69489 44596,469489,144596,Earthwork in Great Park,,,,,,-1,0,-1,,,2827,127,1001845,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001845,1.02141697101048,SU 69489 44596,469488.98500061,144595.95170862,380.934679885632,10207.2369829916,-1.006895255699908,51.19636635045122
128,1001846,Earthworks in Danegrove Copse,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001846,0.166551406107475,SU 44147 54497,444147,154497,Earthworks in Danegrove Copse,,,,,,-1,0,-1,,,2825,128,1001846,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001846,0.166551406107475,SU 44147 54497,444146.81800079,154497.38300968,146.063960674904,1664.26578351265,-1.3683271087275384,51.287904497888064
138,1001857,Roman site NW of Woodgarston Farm,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001857,0.188474372514957,SU 57972 55817,457972,155817,Roman site NW of Woodgarston Farm,,,,,,-1,0,-1,,,2826,138,1001857,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001857,0.188474372514957,SU 57972 55817,457971.84049987,155817.32153229,182.27016838945,1883.39648451066,-1.169885684795338,51.29853570837147
139,1001858,Round barrow S of Down Farm,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001858,0.0867653171914076,SU 61296 40040,461296,140040,Round barrow S of Down Farm,,,,,,-1,0,-1,,,2830,139,1001858,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001858,0.086765317191408,SU 61296 40040,461296.2500019,140039.89850044,104.431424165813,867.041447005554,-1.1249086005875029,51.15633981756557
160,1001879,"Roman villa at Lodge Farm, North Warnborough",,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001879,0.38609854135009,SU 73611 52639,473611,152639,"Roman villa at Lodge Farm, North Warnborough",,,,,,-1,0,-1,,,2880,160,1001879,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001879,0.38609854135009,SU 73611 52639,473610.69950103,152638.93381791,279.839144762938,3858.42116750401,-0.9462639667326455,51.268160451276344
161,1001880,Bramdean Roman villa,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001880,0.841502157416066,SU 62738 28135,462738,128135,Bramdean Roman villa,,,,,,-1,0,-1,,,2881,161,1001880,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001880,0.841502157416066,SU 62738 28135,462737.66450119,128134.5940761,374.615726284327,8409.1256585074,-1.1063577483202152,51.04914617985766
182,1001901,Roman house 1/2 mile (810m) E of Finkley Farm,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001901,2.12422968689459,SU 39836 48348,439836,148348,Roman house 1/2 mile (810m) E of Finkley Farm,,,,,,-1,0,-1,,,2842,182,1001901,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001901,2.12422968689459,SU 39836 48348,439835.93900108,148348.32567064,623.245212512149,21226.1873024734,-1.4308252380633584,51.23293344907614
184,1001903,Corhampton British village on Corhampton Down,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001903,0.508046357298439,SU 57410 20173,457410,120173,Corhampton British village on Corhampton Down,,,,,,-1,0,-1,,,2846,184,1001903,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001903,0.508046357298439,SU 57410 20173,457409.66550064,120172.70396875,275.277761613182,5076.82453446299,-1.1836156961984456,50.978113666271994
186,1001905,"Roman villa at Stroud, site near Petersfield",,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001905,0.726900889411737,SU 72516 23574,472516,123574,"Roman villa at Stroud, site near Petersfield",,,,,,-1,0,-1,,,2844,186,1001905,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001905,0.726900889411737,SU 72516 23574,472515.65150261,123574.24845249,333.266726375826,7264.15291342226,-0.9677987694980599,51.0069901167813
190,1001909,"St Peter's Church, Lainston House",3/25/1949 12:00:00 AM,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001909,0.115876923205057,SU 44242 31591,444242,131591,"St Peter's Church, Lainston House",,,,,,-1,0,-1,,,2843,190,1001909,1949/03/25,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001909,0.115876923205057,SU 44242 31591,444242.28250122,131590.52925986,126.167508251206,1157.90110799863,-1.3697787509654327,51.081940042260754
198,1001917,Old Pound Copse earthwork,2/1/1951 12:00:00 AM,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001917,1.50116807638191,SU 39632 44650,439632,144650,Old Pound Copse earthwork,,,,,,-1,0,-1,,,2875,198,1001917,1951/02/01,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001917,1.50116807638191,SU 39632 44650,439632.49300193,144650.22328444,464.250850887038,15000.2907439397,-1.4341544503920869,51.19969718283272
199,1001918,Ellisfield camp W of Upper Common,9/17/1936 12:00:00 AM,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001918,2.51886882990173,SU 62960 45334,462960,145334,Ellisfield camp W of Upper Common,,,,,,-1,0,-1,,,2876,199,1001918,1936/09/17,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001918,2.51886882990173,SU 62960 45334,462959.64050102,145334.2644462,654.246637380971,25171.0572999737,-1.1001922682379852,51.20375702926124
200,1001919,Barley Pound earthworks,,,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1001919,2.91112888064578,SU 79640 46694,479640,146694,Barley Pound earthworks,,,,,,-1,0,-1,,,2852,200,1001919,,,1:2500,https://historicengland.org.uk/listing/the-list/list-entry/1001919,2.91112888064578,SU 79640 46694,479639.59200096,146694.05112012,647.371331242322,29092.6119695208,-0.8611838922914851,51.21390501031372
201,1001920,Medstead camp in grounds of manor house,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001920,0.592034509705691,SU 65672 37391,465672,137391,Medstead camp in grounds of manor house,,,,,,-1,0,-1,,,2849,201,1001920,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001920,0.592034509705691,SU 65672 37391,465672.27950096,137390.59899773,480.928481847755,5916.25180499981,-1.0628271789403092,51.13203851350504
203,1001922,Earthwork at Penley,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001922,0.707476376313007,SU 77605 45865,477605,145865,Earthwork at Penley,,,,,,-1,0,-1,,,2851,203,1001922,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001922,0.707476376313007,SU 77605 45865,477604.71899986,145864.90693325,331.855705295669,7070.1691755251,-0.8904919344630375,51.20673190624212
224,1001943,King John's House (or St John's House) in Warnford Park,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001943,0.0929238641852563,SU 62296 22646,462296,122646,King John's House (or St John's House) in Warnford Park,,,,,,-1,0,-1,,,2794,224,1001943,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001943,0.092923864185256,SU 62296 22646,462295.97100067,122646.48682764,125.222161561435,928.585974481984,-1.1136039451554833,50.99984193843085
225,1001944,Bulls Down camp,11/30/1925 12:00:00 AM,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001944,8.15654971224867,SU 67082 58382,467082,158382,Bulls Down camp,,,,,,-1,0,-1,,,2801,225,1001944,1925/11/30,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001944,8.15654971224867,SU 67082 58382,467082.21150207,158381.91451213,1026.05373171609,81509.4760439831,-1.03875668538589,51.32059759039406
226,1001945,"Tourner Bury, Hayling Island, South Hayling",,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001945,4.31906168958941,SZ 73161 99856,473161,99856,"Tourner Bury, Hayling Island, South Hayling",,,,,,-1,0,-1,,,2795,226,1001945,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001945,4.31906168958941,SZ 73161 99856,473161.00650024,99855.98137178,768.753317280233,43161.8588240527,-0.963352196095058,50.79366211864353
227,1001946,Dunwood camp,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001946,3.40395313776812,SU 31307 23061,431307,123061,Dunwood camp,,,,,,-1,0,-1,,,2793,227,1001946,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001946,3.40395313776812,SU 31307 23061,431306.61300087,123060.98864633,709.251556614803,34013.2110760105,-1.5551662110909312,51.006088317070436
228,1001947,Toot Hill camp,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001947,2.94099982345215,SU 38161 18637,438161,118637,Toot Hill camp,,,,,,-1,0,-1,,,2799,228,1001947,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001947,2.94099982345215,SU 38161 18637,438160.58850097,118637.03154745,625.862192571673,29387.6013565056,-1.4579459661205967,50.96589584327715
231,1001950,Tidbury Ring,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001950,7.31932042825716,SU 46270 42909,446270,142909,Tidbury Ring,,,,,,-1,0,-1,,,2802,231,1001950,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1001950,7.31932042825716,SU 46270 42909,446270.1970005,142909.37654385,977.394260302776,73138.6958345373,-1.3393791804777624,51.1835455240369
369,1002088,Broad Stone,6/12/1969 12:00:00 AM,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1002088,0.0077311801856641,ST 57763 97246,357763,197246,Broad Stone,,,,,,-1,0,-1,,,2845,369,1002088,1969/06/12,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1002088,0.007731180185664,ST 57763 97246,357763.16000175,197245.55800056,31.2866872289127,77.2535399963977,-2.6121807457589195,51.67238750576453
370,1002089,"Roman site 150yds (140m) E of Palace Cottage, Boughspring",,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1002089,0.155543218390888,ST 55967 97370,355967,197370,"Roman site 150yds (140m) E of Palace Cottage, Boughspring",,,,,,-1,0,-1,,,2847,370,1002089,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1002089,0.155543218390888,ST 55967 97370,355967.35000038,197369.85092366,148.439227490226,1554.26595450348,-2.6381663836055402,51.67336406832576
373,1002092,Over earthwork,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1002092,1.6843756178238,SO 81364 19763,381364,219763,Over earthwork,,,,,,-1,0,-1,,,2864,373,1002092,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1002092,1.6843756178238,SO 81364 19763,381364.4300003,219762.93671169,540.111467191238,16830.4703519371,-2.2721132591229347,51.876120085455575
378,1002098,Ruardean Castle,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1002098,0.794078606167537,SO 61986 17821,361986,217821,Ruardean Castle,,,,,,-1,0,-1,,,2865,378,1002098,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1002098,0.794078606167537,SO 61986 17821,361985.77799988,217820.60416885,342.568455723394,7934.7367660161,-2.5533740480012295,51.85767236721754
386,1002106,Castle Godwyn,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1002106,0.553409740030298,SO 87134 11580,387134,211580,Castle Godwyn,,,,,,-1,0,-1,,,2854,386,1002106,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1002106,0.553409740030298,SO 87134 11580,387134.36650085,211580.48394957,269.340145692776,5529.70764253799,-2.187991466899271,51.8027117755638
390,1002110,Rowden Wood long barrow,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1002110,0.154249643700234,ST 77806 96918,377806,196918,Rowden Wood long barrow,,,,,,-1,0,-1,,,2858,390,1002110,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1002110,0.154249643700234,ST 77806 96918,377805.77400016,196917.58606995,158.484628843544,1541.28524550564,-2.322328384030643,51.67059200984856
391,1002111,Damery camp,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1002111,1.41697903267707,ST 70748 94405,370748,194405,Damery camp,,,,,,-1,0,-1,,,2859,391,1002111,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1002111,1.41697903267707,ST 70748 94405,370748.37200164,194404.53348315,461.681539057182,14158.7904635633,-2.4241748367394496,51.64767308080678
392,1002112,Blackquarries Hill long barrow,1/1/1900 12:00:00 AM,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1002112,0.0871415749421188,ST 77517 93234,377517,193234,Blackquarries Hill long barrow,,,,,,-1,0,-1,,,2861,392,1002112,1900/01/01,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1002112,0.087141574942119,ST 77517 93234,377516.51800155,193233.88092458,112.147712286406,870.731808501944,-2.326269212208628,51.63745732026733
393,1002113,Symonds Hall long barrow,1/1/1900 12:00:00 AM,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1002113,0.241062362630914,ST 79706 95972,379706,195972,Symonds Hall long barrow,,,,,,-1,0,-1,,,2862,393,1002113,1900/01/01,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1002113,0.241062362630914,ST 79706 95972,379706.00600052,195971.86921906,190.604755060661,2408.72589949194,-2.294799116434838,51.662158679492954
395,1002115,Tresham Farbarrow round barrows,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1002115,0.155148476233287,ST 79301 90181,379301,190181,Tresham Farbarrow round barrows,,,,,,-1,0,-1,,,2857,395,1002115,,,1:10000,https://historicengland.org.uk/listing/the-list/list-entry/1002115,0.155148476233287,ST 79301 90181,379300.90049934,190181.45932686,154.073490671836,1550.26406001337,-2.3003099536539784,51.61007619155024
